step,score
1,0.55696094
2,0.5793594
3,0.56321096
4,0.59335935
5,0.5246484
6,0.51451564
7,0.48125982
8,0.46689063
9,0.4193828
10,0.43503124
11,0.46246454
12,0.4401406
13,0.45038283
14,0.49286616
15,0.5371953
16,0.5509063
17,0.5163779
18,0.54324996
19,0.5315
20,0.54409444
21,0.5798906
22,0.47314844
23,0.5230551
24,0.556238
25,0.5262891
26,0.58159846
27,0.57598424
28,0.56259376
29,0.57212496
30,0.5207322
31,0.5579516
32,0.5860082
33,0.59945536
34,0.5618182
35,0.56185246
36,0.60850793
37,0.6087751
38,0.60773766
39,0.6489321
40,0.6539536
41,0.6883091
42,0.7604219
43,0.75049525
44,0.7583981
45,0.73892164
46,0.7000667
47,0.7500192
48,0.721342
49,0.6921696
50,0.69295496
51,0.71966666
52,0.65993166
53,0.7243249
54,0.69795686
55,0.70443696
56,0.6987778
57,0.7250492
58,0.7059667
59,0.7206218
60,0.67631304
61,0.6603071
62,0.7363044
63,0.7007806
64,0.6581093
65,0.6663193
66,0.6531475
67,0.6888524
68,0.71790683
69,0.71190083
70,0.73957026
71,0.73941666
72,0.74839497
73,0.78045374
74,0.7408585
75,0.7718559
76,0.74270004
77,0.80310434
78,0.7715251
79,0.78898275
80,0.8186723
81,0.7674824
82,0.7986695
83,0.83075005
84,0.7996611
85,0.8377769
86,0.83356255
87,0.82378685
88,0.8153468
89,0.79504067
90,0.7902419
91,0.78116107
92,0.7740089
93,0.76766086
94,0.724225
95,0.7425565
96,0.7273583
97,0.77098316
98,0.76537067
99,0.77035046
100,0.816531
101,0.7934036
102,0.81115574
103,0.8406782
104,0.8335391
105,0.8465946
106,0.81598306
107,0.8314035
108,0.81453776
109,0.80814916
110,0.8288609
111,0.8222917
112,0.8326098
113,0.82508945
114,0.8254207
115,0.77020156
116,0.7769838
117,0.7940328
118,0.73918694
119,0.77412605
120,0.76411504
121,0.7563706
122,0.7526783
123,0.7851755
124,0.75525856
125,0.75309306
126,0.7774794
127,0.78077054
128,0.81909764
129,0.85004836
130,0.8259669
131,0.82029164
132,0.84893095
133,0.8436752
134,0.8593171
135,0.8455182
136,0.83766955
137,0.8490756
138,0.82912934
139,0.78949994
140,0.8507913
141,0.8320263
142,0.8116908
143,0.82252717
144,0.76267254
145,0.76219326
146,0.79362273
147,0.7779333
148,0.76346666
149,0.7734016
150,0.77664226
151,0.78551257
152,0.8134711
153,0.79317737
154,0.80824363
155,0.7988052
156,0.7851293
157,0.7981786
158,0.7645
159,0.7082479
160,0.77637094
161,0.7752193
162,0.77037406
163,0.7894083
164,0.75023675
165,0.74606085
166,0.7695702
167,0.78811926
168,0.76290995
169,0.80092305
170,0.79592437
171,0.796026
172,0.82165515
173,0.8068374
174,0.82259166
175,0.83167493
176,0.8153166
177,0.8512148
178,0.8379146
179,0.8066607
180,0.80554247
181,0.8157053
182,0.7686903
183,0.8217759
184,0.8081404
185,0.7943193
186,0.7947882
187,0.78590834
188,0.7914147
189,0.7767769
190,0.7588525
191,0.7882917
192,0.8192
193,0.84679997
194,0.8345715
195,0.83642864
196,0.8327
197,0.817488
198,0.80401695
199,0.8327741
200,0.8386935
201,0.7992649
202,0.82100004
203,0.857025
204,0.8341
205,0.8583136
206,0.8541
207,0.83329666
208,0.83486325
209,0.8363636
